172.21.0.1 - - [30/Jan/2023:19:57:23 +0000] "GET / HTTP/1.1" 200 12 "-" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/109.0.0.0 Safari/537.36"
127.0.0.1 - - [30/Jan/2023:19:58:45 +0000] "GET / HTTP/1.1" 200 12 "-" "curl/7.61.1"
127.0.0.1 - - [30/Jan/2023:20:00:15 +0000] "GET / HTTP/1.1" 200 12 "-" "curl/7.61.1"
127.0.0.1 - - [30/Jan/2023:20:01:45 +0000] "GET / HTTP/1.1" 200 12 "-" "curl/7.61.1"
127.0.0.1 - - [30/Jan/2023:20:03:15 +0000] "GET / HTTP/1.1" 200 12 "-" "curl/7.61.1"
127.0.0.1 - - [30/Jan/2023:20:04:45 +0000] "GET / HTTP/1.1" 200 12 "-" "curl/7.61.1"
127.0.0.1 - - [30/Jan/2023:20:06:15 +0000] "GET / HTTP/1.1" 200 12 "-" "curl/7.61.1"
127.0.0.1 - - [30/Jan/2023:20:07:45 +0000] "GET / HTTP/1.1" 200 12 "-" "curl/7.61.1"
127.0.0.1 - - [30/Jan/2023:20:09:15 +0000] "GET / HTTP/1.1" 200 12 "-" "curl/7.61.1"
127.0.0.1 - - [30/Jan/2023:20:10:45 +0000] "GET / HTTP/1.1" 200 12 "-" "curl/7.61.1"
127.0.0.1 - - [30/Jan/2023:20:12:15 +0000] "GET / HTTP/1.1" 200 12 "-" "curl/7.61.1"
127.0.0.1 - - [30/Jan/2023:20:13:45 +0000] "GET / HTTP/1.1" 200 12 "-" "curl/7.61.1"
127.0.0.1 - - [30/Jan/2023:20:15:15 +0000] "GET / HTTP/1.1" 200 12 "-" "curl/7.61.1"
127.0.0.1 - - [30/Jan/2023:20:16:45 +0000] "GET / HTTP/1.1" 200 12 "-" "curl/7.61.1"
127.0.0.1 - - [30/Jan/2023:20:18:16 +0000] "GET / HTTP/1.1" 200 12 "-" "curl/7.61.1"
127.0.0.1 - - [30/Jan/2023:20:19:46 +0000] "GET / HTTP/1.1" 200 12 "-" "curl/7.61.1"
127.0.0.1 - - [30/Jan/2023:20:21:16 +0000] "GET / HTTP/1.1" 200 12 "-" "curl/7.61.1"
127.0.0.1 - - [30/Jan/2023:20:22:46 +0000] "GET / HTTP/1.1" 200 12 "-" "curl/7.61.1"
127.0.0.1 - - [30/Jan/2023:20:24:16 +0000] "GET / HTTP/1.1" 200 12 "-" "curl/7.61.1"
127.0.0.1 - - [30/Jan/2023:20:25:46 +0000] "GET / HTTP/1.1" 200 12 "-" "curl/7.61.1"
127.0.0.1 - - [30/Jan/2023:20:27:16 +0000] "GET / HTTP/1.1" 200 12 "-" "curl/7.61.1"
127.0.0.1 - - [30/Jan/2023:20:28:46 +0000] "GET / HTTP/1.1" 200 12 "-" "curl/7.61.1"
127.0.0.1 - - [30/Jan/2023:20:30:16 +0000] "GET / HTTP/1.1" 200 12 "-" "curl/7.61.1"
127.0.0.1 - - [30/Jan/2023:20:31:46 +0000] "GET / HTTP/1.1" 200 12 "-" "curl/7.61.1"
127.0.0.1 - - [30/Jan/2023:20:33:16 +0000] "GET / HTTP/1.1" 200 12 "-" "curl/7.61.1"
127.0.0.1 - - [30/Jan/2023:20:34:46 +0000] "GET / HTTP/1.1" 200 12 "-" "curl/7.61.1"
127.0.0.1 - - [30/Jan/2023:20:36:16 +0000] "GET / HTTP/1.1" 200 12 "-" "curl/7.61.1"
127.0.0.1 - - [30/Jan/2023:20:37:47 +0000] "GET / HTTP/1.1" 200 12 "-" "curl/7.61.1"
127.0.0.1 - - [30/Jan/2023:20:39:17 +0000] "GET / HTTP/1.1" 200 12 "-" "curl/7.61.1"
127.0.0.1 - - [30/Jan/2023:20:40:47 +0000] "GET / HTTP/1.1" 200 12 "-" "curl/7.61.1"
127.0.0.1 - - [30/Jan/2023:20:42:17 +0000] "GET / HTTP/1.1" 200 12 "-" "curl/7.61.1"
127.0.0.1 - - [30/Jan/2023:20:43:47 +0000] "GET / HTTP/1.1" 200 12 "-" "curl/7.61.1"
127.0.0.1 - - [30/Jan/2023:20:45:17 +0000] "GET / HTTP/1.1" 200 12 "-" "curl/7.61.1"
127.0.0.1 - - [30/Jan/2023:20:46:47 +0000] "GET / HTTP/1.1" 200 12 "-" "curl/7.61.1"
127.0.0.1 - - [30/Jan/2023:20:48:17 +0000] "GET / HTTP/1.1" 200 12 "-" "curl/7.61.1"
127.0.0.1 - - [30/Jan/2023:20:58:05 +0000] "GET / HTTP/1.1" 200 12 "-" "curl/7.61.1"
127.0.0.1 - - [30/Jan/2023:20:59:35 +0000] "GET / HTTP/1.1" 200 12 "-" "curl/7.61.1"
127.0.0.1 - - [30/Jan/2023:21:01:05 +0000] "GET / HTTP/1.1" 200 12 "-" "curl/7.61.1"
127.0.0.1 - - [30/Jan/2023:21:02:35 +0000] "GET / HTTP/1.1" 200 12 "-" "curl/7.61.1"
127.0.0.1 - - [30/Jan/2023:21:04:05 +0000] "GET / HTTP/1.1" 200 12 "-" "curl/7.61.1"
127.0.0.1 - - [30/Jan/2023:21:05:35 +0000] "GET / HTTP/1.1" 200 12 "-" "curl/7.61.1"
127.0.0.1 - - [30/Jan/2023:21:22:56 +0000] "GET / HTTP/1.1" 200 12 "-" "curl/7.61.1"
127.0.0.1 - - [30/Jan/2023:21:24:26 +0000] "GET / HTTP/1.1" 200 12 "-" "curl/7.61.1"
127.0.0.1 - - [30/Jan/2023:21:41:38 +0000] "GET / HTTP/1.1" 200 12 "-" "curl/7.61.1"
127.0.0.1 - - [30/Jan/2023:22:15:12 +0000] "GET / HTTP/1.1" 200 12 "-" "curl/7.61.1"
127.0.0.1 - - [30/Jan/2023:22:31:52 +0000] "GET / HTTP/1.1" 200 12 "-" "curl/7.61.1"
127.0.0.1 - - [30/Jan/2023:23:03:37 +0000] "GET / HTTP/1.1" 200 12 "-" "curl/7.61.1"
127.0.0.1 - - [30/Jan/2023:23:25:50 +0000] "GET / HTTP/1.1" 200 12 "-" "curl/7.61.1"
127.0.0.1 - - [30/Jan/2023:23:44:52 +0000] "GET / HTTP/1.1" 200 12 "-" "curl/7.61.1"
127.0.0.1 - - [30/Jan/2023:23:47:12 +0000] "GET / HTTP/1.1" 200 12 "-" "curl/7.61.1"
127.0.0.1 - - [30/Jan/2023:23:49:32 +0000] "GET / HTTP/1.1" 200 12 "-" "curl/7.61.1"
127.0.0.1 - - [30/Jan/2023:23:51:52 +0000] "GET / HTTP/1.1" 200 12 "-" "curl/7.61.1"
127.0.0.1 - - [30/Jan/2023:23:54:12 +0000] "GET / HTTP/1.1" 200 12 "-" "curl/7.61.1"
